Ranking,Name,Best,Worst,Average,StDev,ADP
1,"Mike Trout (LAA, CF) ",1,2,1,0.2,1
2,"Mookie Betts (BOS, RF) ",2,15,3.2,2.6,2
3,"Jose Altuve (HOU, 2B) ",2,10,4.4,1.8,3
4,"Kris Bryant (CHC, 1B,3B,LF,RF) ",2,11,5.1,2.1,5
5,"Paul Goldschmidt (ARI, 1B) ",2,12,5.4,2.2,7
6,"Nolan Arenado (COL, 3B) ",3,9,5.4,1.4,4
7,"Clayton Kershaw (LAD, SP) ",1,21,6.8,4.5,6
8,"Manny Machado (BAL, 3B,SS) ",3,23,8.5,3.3,8
9,"Bryce Harper (WSH, RF) ",5,17,9.7,2.4,9
10,"Josh Donaldson (TOR, 3B) DTD ",6,17,10.5,2.6,10
11,"Anthony Rizzo (CHC, 1B) ",6,28,11.6,3.8,12
12,"Miguel Cabrera (DET, 1B) ",6,16,12.1,2.4,14
13,"Charlie Blackmon (COL, CF) ",8,34,14.4,4.6,15
14,"Max Scherzer (WSH, SP) DTD ",7,36,15.9,5.8,13
15,"Carlos Correa (HOU, SS) ",10,35,17.2,4.6,18
16,"Trea Turner (WSH, 2B,CF) ",5,34,17.4,7.9,11
17,"Madison Bumgarner (SF, SP) ",12,36,19.5,5.6,16
18,"Corey Seager (LAD, SS) ",13,33,21.1,5.5,17
19,"Joey Votto (CIN, 1B) ",12,36,21.2,6.3,20
20,"Starling Marte (PIT, LF,CF) ",12,67,23.2,11.3,23
21,"Noah Syndergaard (NYM, SP) ",12,42,24.5,7.6,19
22,"Chris Sale (BOS, SP) ",18,46,25.1,5.9,21
23,"Freddie Freeman (ATL, 1B) ",14,45,25.7,7.1,26
24,"Edwin Encarnacion (CLE, 1B,DH) ",13,60,26,9.1,24
25,"Robinson Cano (SEA, 2B) ",15,46,27,6.8,30
26,"Corey Kluber (CLE, SP) ",17,49,28,7,22
27,"Francisco Lindor (CLE, SS) ",18,44,28.9,6.6,25
28,"Ryan Braun (MIL, LF) ",15,66,29.6,10,36
29,"Nelson Cruz (SEA, RF,DH) ",16,50,29.6,7.3,39
30,"George Springer (HOU, RF) ",16,49,30.6,8.7,31
31,"Xander Bogaerts (BOS, SS) ",15,62,31.7,8.5,27
32,"Brian Dozier (MIN, 2B) ",21,56,36.1,8.1,33
33,"A.J. Pollock (ARI, CF) ",20,70,37.1,12.5,32
34,"Trevor Story (COL, SS) ",19,89,38.2,12.7,34
35,"Jonathan Villar (MIL, 2B,3B,SS) ",10,81,38.3,17.4,29
36,"J.D. Martinez (DET, RF) ",23,73,38.8,11,46
37,"Giancarlo Stanton (MIA, RF) ",13,93,38.9,13.8,38
38,"Carlos Gonzalez (COL, RF) ",24,79,41.7,12.4,48
39,"Daniel Murphy (WSH, 1B,2B) ",17,74,42,14.5,37
40,"Ian Desmond (COL, LF,CF) ",16,72,42.5,14.4,51
41,"Rougned Odor (TEX, 2B) ",14,75,44,15.7,41
42,"Jose Abreu (CWS, 1B) ",24,65,44,9.6,58
43,"Jake Arrieta (CHC, SP) ",28,85,44.1,10.6,28
44,"Jon Lester (CHC, SP) ",32,73,45.2,10.2,35
45,"Johnny Cueto (SF, SP) ",28,86,48.8,10.9,45
46,"Yu Darvish (TEX, SP) ",25,152,50.3,22.5,40
47,"Wil Myers (SD, 1B,RF) ",26,74,51.6,13.2,53
48,"Justin Verlander (DET, SP) ",35,155,52.3,21.6,43
49,"Yoenis Cespedes (NYM, LF,CF) ",26,80,53.2,12.3,55
50,"Christian Yelich (MIA, LF,CF) ",25,84,53.5,13.1,57
51,"Kyle Seager (SEA, 3B) ",34,106,54.4,15,59
52,"Stephen Strasburg (WSH, SP) ",21,84,56.1,15.2,50
53,"Andrew McCutchen (PIT, CF) ",31,99,56.5,12.4,61
54,"Gregory Polanco (PIT, LF,RF) ",36,86,57,10.1,64
55,"Buster Posey (SF, C,1B) ",22,111,57.5,21.3,44
56,"Carlos Carrasco (CLE, SP) ",31,100,57.6,12.5,56
57,"Adrian Beltre (TEX, 3B) ",34,120,60.5,14.4,72
58,"Chris Archer (TB, SP) ",43,87,62.1,9.3,60
59,"Justin Upton (DET, LF,CF) ",34,114,62.4,15.6,80
60,"Hanley Ramirez (BOS, 1B) ",30,96,62.6,16.1,79
61,"David Price (BOS, SP) DTD ",26,224,64,36.6,42
62,"Chris Davis (BAL, 1B) ",41,104,65.8,13.8,73
63,"Ian Kinsler (DET, 2B) ",45,96,66.9,12.8,71
64,"Todd Frazier (CWS, 1B,3B) ",40,111,69.1,15.6,75
65,"Jacob DeGrom (NYM, SP) ",44,175,69.9,22.8,63
66,"Dee Gordon (MIA, 2B) ",37,199,71,31.5,54
67,"Aroldis Chapman (NYY, RP) ",41,98,73,14.1,52
68,"Jean Segura (SEA, 2B,SS) ",35,149,73.3,26.5,62
69,"Mark Trumbo (BAL, RF,DH) ",21,138,73.5,23.5,76
70,"Kenley Jansen (LAD, RP) ",40,104,73.5,15.3,49
71,"Gary Sanchez (NYY, C) ",22,151,73.7,29,47
72,"Kyle Schwarber (CHC, C,LF) ",24,124,74.7,22,68
73,"Kyle Hendricks (CHC, SP) ",51,144,76.9,19.9,69
74,"Matt Carpenter (STL, 1B,2B,3B) ",39,130,77.8,23.1,70
75,"Anthony Rendon (WSH, 3B) ",41,111,77.8,15.6,94
76,"Khris Davis (OAK, LF,DH) ",49,103,78.4,14.3,84
77,"Matt Kemp (ATL, LF,RF) ",42,177,81.8,21.5,93
78,"Jason Kipnis (CLE, 2B) ",57,115,82.2,14.9,82
79,"Adam Jones (BAL, CF) ",44,114,82.4,15,99
80,"Jonathan Lucroy (TEX, C,1B) ",45,162,82.8,28.5,65
81,"Zach Britton (BAL, RP) ",49,163,83.5,19.7,66
82,"Eric Hosmer (KC, 1B) ",41,161,84.4,22,106
83,"Evan Longoria (TB, 3B) ",48,135,84.6,19.8,96
84,"Carlos Martinez (STL, SP) ",45,186,85.4,26.5,74
85,"Alex Bregman (HOU, 3B) ",42,151,87.5,28.1,83
86,"Masahiro Tanaka (NYY, SP) ",65,192,89,24,87
87,"Jose Bautista (TOR, RF,DH) ",50,123,89,15.3,100
88,"DJ LeMahieu (COL, 2B) ",57,160,90,22.9,86
89,"David Dahl (COL, LF,CF) DTD ",58,144,90.1,21.9,92
90,"Billy Hamilton (CIN, CF) ",41,227,90.8,39.4,67
91,"Carlos Santana (CLE, 1B,DH) ",46,187,92.5,31,116
92,"Cole Hamels (TEX, SP) ",51,203,95.6,25.2,78
93,"Gerrit Cole (PIT, SP) ",67,205,98.7,26.6,97
94,"Albert Pujols (LAA, 1B,DH) DTD ",52,151,100.4,24.7,134
95,"Jose Quintana (CWS, SP) ",67,207,100.6,27.2,98
96,"Zack Greinke (ARI, SP) ",49,239,102.1,34.6,88
97,"Seung Hwan Oh (STL, RP) ",73,135,102.9,13.8,81
98,"Adam Eaton (WSH, CF,RF) ",66,153,104.4,16.7,117
99,"Edwin Diaz (SEA, RP) ",77,129,104.7,11.5,91
100,"Lorenzo Cain (KC, CF,RF) ",53,162,105,24,118
101,"Kenta Maeda (LAD, SP) ",55,199,106.5,29.9,103
102,"Craig Kimbrel (BOS, RP) ",80,160,106.7,15.6,89
103,"Roberto Osuna (TOR, RP) ",82,156,108.7,17.2,90
104,"Justin Turner (LAD, 3B) ",45,206,109.8,29.3,110
105,"Mark Melancon (SF, RP) ",57,154,104,18.2,77
106,"Jackie Bradley (BOS, CF) ",64,197,111.5,34.8,122
107,"Danny Duffy (KC, SP,RP) ",67,196,107.6,27.3,102
108,"Odubel Herrera (PHI, CF) ",82,170,114.3,23.2,119
109,"Stephen Piscotty (STL, CF,RF) ",67,192,116,26.1,125
110,"Danny Salazar (CLE, SP) ",72,180,116.3,25.4,109
111,"Rick Porcello (BOS, SP) ",71,226,116.6,30.7,95
112,"Julio Teheran (ATL, SP) ",81,294,117.7,39.2,104
113,"Wade Davis (CHC, RP) ",82,169,114.8,17.9,85
114,"Kenneth Giles (HOU, RP) ",83,170,118.1,17.2,105
115,"Dustin Pedroia (BOS, 2B) ",76,240,124.8,36.8,127
116,"Andrew Miller (CLE, RP) ",69,196,125,28.3,111
117,"Willson Contreras (CHC, C,LF) ",67,221,125.7,31.9,101
118,"Andrew Benintendi (BOS, LF) ",69,226,126.3,30.5,135
119,"Aaron Sanchez (TOR, SP) ",76,315,127.7,44.5,108
120,"Rich Hill (LAD, SP) ",79,194,121.9,28.1,115
121,"Miguel Sano (MIN, 3B,RF,DH) ",78,236,129.9,35.8,129
122,"Jose Ramirez (CLE, 3B,LF) ",59,230,126.6,47,120
123,"Adrian Gonzalez (LAD, 1B) ",71,253,133.8,40.2,153
124,"Michael Fulmer (DET, SP) ",107,300,136.9,35.9,124
125,"Maikel Franco (PHI, 3B) ",63,224,137.6,32.6,141
126,"Addison Russell (CHC, SS) ",69,244,137.6,34.9,133
127,"Kelvin Herrera (KC, RP) ",101,251,133.7,29.6,112
128,"Kole Calhoun (LAA, RF) ",88,189,142.4,25,180
129,"Cody Allen (CLE, RP) ",104,244,137.2,28.1,107
130,"Dallas Keuchel (HOU, SP) ",68,210,138.6,34,126
131,"Jake Lamb (ARI, 3B) ",88,261,144.2,32.5,163
132,"Adam Duvall (CIN, LF,RF) ",89,199,144.2,31,149
133,"Marcus Stroman (TOR, SP) ",107,288,145.7,31.7,146
