Rank,Player,Team,Positions,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,Mike Trout,LAA,CF,1,3,1.1,0.4,1,-
2,Jose Altuve,HOU,2B,1,4,2.1,0.5,2,-
3,Nolan Arenado,COL,3B,2,13,4,1.9,3,-
4,Trea Turner,WSH,SS,2,13,6.1,2.5,5,1
5,Paul Goldschmidt,ARI,1B,3,18,7.1,3.9,4,-1
6,Bryce Harper,WSH,RF,4,15,7.4,2.6,6,-
7,Mookie Betts,BOS,RF,3,17,7.5,2.7,8,1
8,Charlie Blackmon,COL,CF,4,12,7.7,2.3,9,1
9,Giancarlo Stanton,NYY,RF,2,20,9,4.2,10,1
10,Clayton Kershaw,LAD,SP,3,19,9.3,3.7,7,-3
11,Kris Bryant,CHC,3B,4,17,11.9,2.6,13,2
12,Max Scherzer,WSH,SP,5,23,12.6,4.3,11,-1
13,Carlos Correa,HOU,SS,8,28,13.9,4.5,12,-1
14,Joey Votto,CIN,1B,3,22,14.3,4.1,18,4
15,Manny Machado,BAL,3B,8,27,16,3.8,17,2
16,Chris Sale,BOS,SP,6,22,16.2,3.2,14,-2
17,Corey Kluber,CLE,SP,7,26,16.3,3.9,15,-2
18,Freddie Freeman,ATL,1B,8,28,17.3,4.2,19,1
19,Anthony Rizzo,CHC,1B,7,25,18.3,3.9,21,2
20,Aaron Judge,NYY,RF,10,47,21.1,6.5,16,-4
21,Francisco Lindor,CLE,SS,15,29,21.3,3,20,-1
22,Jose Ramirez,CLE,"2B,3B",14,61,24.2,8.3,22,-
23,George Springer,HOU,"CF,RF",12,40,25.4,4.7,28,5
24,Cody Bellinger,LAD,"1B,LF",18,59,26.1,6.8,25,1
25,Josh Donaldson,TOR,3B,15,49,27.3,5.7,29,4
26,Stephen Strasburg,WSH,SP,15,45,30,6.2,27,1
27,J.D. Martinez,BOS,RF,12,30,21.4,4,24,-3
28,Gary Sanchez,NYY,C,11,66,31.3,10.4,23,-5
29,Madison Bumgarner,SF,SP,22,67,31.8,9,26,-3
30,Jose Abreu,CWS,1B,19,67,32.3,8.1,37,7
31,Corey Seager,LAD,SS,20,69,33.7,11.4,31,-
32,Brian Dozier,MIN,2B,23,60,34.5,6.4,34,2
33,Noah Syndergaard,NYM,SP,23,68,34.8,8.8,30,-3
34,Jacob deGrom,NYM,SP,26,52,38.6,7.2,36,2
35,Nelson Cruz,SEA,DH,12,59,39.4,9.2,54,19
